CIUDAD;NOMBRE OFICINA;DIRECCIÓN;INDICATIVO;Tel 1;Tel 2;Tel 3;Tel 4;Tel 5;HORARIO LUNES A VIERNES  Y FIN DE MES;HORARIO ADICIONAL LUNES A VIERNES;SÁBADO;zipcode;lat;lon;Num_Eventos
MONTERÍA;EL RECREO;CALLE 67 No. 5 - 84 Local 1;4;7812911;NA;NA;NA;NA;8:00 a.m a 11:30 a.m - 2:00 p.m a  4:30 p.m;NA;NA;NA;8,7779375;-75,8639786;0
MONTERÍA;RIO PARQUE COMERCIAL;CALLE 44 CARRERA 4 LOCALES 13 Y 14;4;7812912;NA;NA;NA;NA;8:00 a.m a 11:30 a.m - 2:00 p.m a  4:30 p.m;NA;NA;NA;8,7647964;-75,877282;0
MOSQUERA;MOSQUERA;CALLE 3 No. 1-39;1;8276981;8276983;8276982;NA;NA;9:00 a.m a 4:00 p.m;NA;NA;NA;4,7046849;-74,2294423;0
NEIVA;AVENIDA LA TOMA;CARRERA 7 No. 11-02;8;8664403;NA;NA;NA;NA;8:00 a.m a 11:30 a.m - 2:00 p.m a  4:30 p.m;NA;NA;NA;2,9304396;-75,2875487;0
NEIVA;LOS ALMENDROS;CARRERA 7 No. 9-37;8;8664404;NA;NA;NA;NA;8:00 a.m a 11:30 a.m - 2:00 p.m a  4:30 p.m;NA;NA;NA;2,9289619;-75,2872013;0
NEIVA;NEIVA;CARRERA . 5 No. 6-44 EDIF. METROPOLIT.TORRE A PISO 2;8;8664405;NA;NA;NA;NA;8:00 a.m a 11:30 a.m - 2:00 p.m a  4:30 p.m;NA;NA;NA;2,9344837;-75,2809001;3
NEIVA;RIO DEL ORO;CALLE 1G No. 4-27;8;8664402;NA;NA;NA;NA;8:00 a.m a 11:30 a.m - 2:00 p.m a  4:30 p.m;NA;NA;NA;2,9213119;-75,2875344;0
NEIVA;SAN JUAN PLAZA;CARRERA 16 No. 41 -72 LOCAL 117;8;8664406;NA;NA;NA;NA;Lunes a viernes: 9:00 a.m. a 12:30 p.m. y 02:30 p.m. a 05:00 p.m;NA;NA;NA;2,9169745;-75,2798029;0
OCAÑA;OCAÑA;CALLE 11 No. 13-03/11/15/19;7;5623598;5690715;NA;NA;NA;"Lunes a Jueves 8:00 a.m a 11:30 a.m - 2:00 p.m a  4:00 p.m.
Viernes 8:00 a.m a 11:30 a.m - 2:00 p.m a  4:30 p.m.";NA;NA;NA;8,25205;-73,3532199;0
ORITO;AGENCIA ORITO;CALLE 8 No. 10-129;8;4292293;4291162;NA;NA;NA;8:00 a.m a 11:30 a.m - 2:00 p.m a  4:30 p.m;NA;NA;NA;0,67688;-76,880163;0
PAIPA;AGENCIA PAIPA;CALLE 25 No. 19-62/64;8;7852505;7850401;NA;NA;NA;8:00 a.m a 11:30 a.m - 2:00 p.m a  4:30 p.m;NA;NA;NA;5,7792993;-73,1173801;0
PALMIRA;PALMIRA;CALLE 31 No. 29-08;2;6440033;NA;NA;NA;NA;8:00 a.m a 11:30 a.m - 2:00 p.m a  4:30 p.m;NA;NA;763531;3,5280706;-76,2996918;0
PALMIRA;BBVA UNICENTRO PALMIRA;Carrera 40 42-26 local 201;2;6440034;NA;NA;NA;NA;8:00 a.m a 11:30 a.m - 2:00 p.m a  4:30 p.m;NA;NA;763533;3,528284;-76,3101585;0
PAMPLONA;PAMPLONA;CARRERA 6 No. 5-71;7;5682809;5682844;NA;NA;NA;8:00 a.m a 11:30 a.m - 2:00 p.m a  4:30 p.m;5:30 p.m a 7:00 p.m;9:00 a.m a 1:00 p.m;NA;7,3770248;-72,6472361;0
PASTO;PARQUE NARIÑO;CARRERA 25 No. 20 - 45 LOCAL 102;2;7244329;NA;NA;NA;NA;8:00 a.m a 11:30 a.m - 2:00 p.m a  4:30 p.m;NA;NA;NA;1,2149523;-77,2761523;0
PASTO;PASTO;CALLE 19 No. 21A- 21 COMPLEJO BANCARIO;2;7244330;NA;NA;NA;NA;8:00 a.m a 11:30 a.m - 2:00 p.m a  4:30 p.m;NA;NA;520006;1,199332;-77,263067;0
PASTO;UNICENTRO PASTO;CALLE 11 UNICENTRO LOCAL 247-248 PASTO;2;7244328;NA;NA;NA;NA;8:00 a.m a 11:30 a.m - 2:00 p.m a  4:30 p.m;5:30 p.m a 7:00 p.m;9:00 a.m a 1:00 p.m;NA;1,2165533;-77,2885758;0
PASTO;CENTRO COMERCIAL ÚNICO;CALLE 22 No 6-61 LOCAL B2;2;27244331;NA;NA;NA;NA;8:00 a.m a 11:30 a.m - 2:00 p.m a  4:30 p.m;NA;NA;11201;1,2057884;-77,2592206;0
PAZ DE ARIPORO;PAZ DE ARIPORO;CALLE 9 No. 10-40 PARQUE LOS LIBERTADORES;8;6373520;6373523;NA;NA;NA;8:00 a.m a 11:30 a.m - 2:00 p.m a  4:30 p.m;NA;NA;NA;5,8812486;-71,8949443;0
PEREIRA;AVENIDA 30 DE AGOSTO;AVENIDA 30 DE AGOSTO No. 36-60;6;3515152;NA;NA;NA;NA;8:00 a.m a 11:30 a.m - 2:00 p.m a  4:30 p.m;NA;NA;NA;4,8125617;-75,7093218;0
PEREIRA;BBVA UNICENTRO PEREIRA;AVENIDA 30 DE AGOSTO No. 75 – 51 LOCALES B-58 y B-59;6;3515159;NA;NA;NA;NA;8:00 a.m a 11:30 a.m - 2:00 p.m a  4:30 p.m;NA;NA;NA;4,808995;-75,742883;0
PEREIRA;BULEVARES;CARRERA 15 No. 14-05 LOCAL 25 CENTRO COMERCIAL PINARES PLAZA;6;3515153;NA;NA;NA;NA;8:00 a.m a 11:30 a.m - 2:00 p.m a  4:30 p.m;NA;NA;NA;4,8070592;-75,6837831;0
PEREIRA;DOS QUEBRADAS;CARRERA 16 No. 32-56 LOCAL 16 CENTRO COMERCIAL LOS MOLINOS;6;3515171;NA;NA;NA;NA;8:00 a.m a 11:30 a.m - 2:00 p.m a  4:30 p.m;NA;NA;NA;4,8075969;-75,6891837;2
PEREIRA;LAGO URIBE;CALLE 24 No. 7-17 LOCAL 101;6;3515154;NA;NA;NA;NA;8:00 a.m a 11:30 a.m - 2:00 p.m a  4:30 p.m;NA;NA;NA;4,814003;-75,69851;0
PEREIRA;PEREIRA;CARRERA 7 No. 19-68;6;3515156;NA;NA;NA;NA;8:00 a.m a 11:30 a.m - 2:00 p.m a  4:30 p.m;5:30 p.m a 7:00 p.m;9:00 a.m a 1:00 p.m;NA;4,8148901;-75,6946846;0
PEREIRA;PINARES;CARRERA 13 No.2-24;6;3515155;NA;NA;NA;NA;8:00 a.m a 11:30 a.m - 2:00 p.m a  4:30 p.m;NA;NA;NA;4,8082377;-75,6806655;0
PEREIRA;Agencia VICTORIA PLAZA;CARRERA 11B No. 17 - 20 Locales 2, 3 y 7;6;3515158;NA;NA;NA;NA;8:00 a.m a 11:30 a.m - 2:00 p.m a  4:30 p.m;NA;NA;NA;4,8110671;-75,6931176;0
PEREIRA;BANCA PERSONAL PEREIRA;AVENIDA CIRCUNVALAR No. 5-20 Of. 805 - 806;6;3515160;NA;NA;NA;NA;8:00 a.m a 11:30 a.m - 2:00 p.m a  4:30 p.m;NA;NA;660003;4,8069386;-75,6835056;0
PIEDECUESTA;PIEDECUESTA;CARRERA 15 No. 10N - 65 Locales: 6, 7, 8 y 9;7;6855029;NA;NA;NA;NA;8:00 a.m a 11:30 a.m - 2:00 p.m a  4:30 p.m;NA;NA;Colombia;7,0034585;-73,0548277;0
PIEDECUESTA;EXTENSIÓN DE OFICINA RUITOQUE;CONDOMINIO RUITOQUE ZONA COMERCIAL ALDEA - LOCAL 24;7;6854671;NA;NA;NA;NA;9:30 a.m. a 1:00 p.m. y de  3:00 p.m a 6:30 p.m;NA;NA;NA;7,0235157;-73,0826526;0
PITALITO;PITALITO;CARRERA 4 No. 5-56;8;8362900;8362901;8369225;NA;NA;8:00 a.m a 11:30 a.m - 2:00 p.m a  4:30 p.m;NA;NA;NA;1,8519663;-76,0458469;0
PLANETA RICA;PLANETA RICA;CALLE 20 No. 9-38;4;7767589;7767076;7767161;NA;NA;8:00 a.m a 11:30 a.m - 2:00 p.m a  4:30 p.m;NA;NA;NA;8,4126946;-75,5840285;2
PLATO;PLATO;CALLE 6 No. 15-102;5;4850667;4850477;NA;NA;NA;8:00 a.m a 11:30 a.m - 2:00 p.m a  4:30 p.m;NA;NA;475030;9,7878328;-74,7849541;2
POPAYÁN;POPAYAN;CARRERA 7 No. 5-36;2;8243522;NA;NA;NA;NA;8:00 a.m a 11:30 a.m - 2:00 p.m a  4:30 p.m;NA;NA;NA;2,4412917;-76,6070116;0
POPAYÁN;RIO MOLINO;CARRERA 8 No. 2-03;8;8242619;8223330;8240747;8244779;8242623;8:00 a.m a 11:30 a.m - 2:00 p.m a  4:30 p.m;5:30 p.m a 7:00 p.m;9:00 a.m a 1:00 p.m;NA;2,4441261;-76,6069411;0
POPAYÁN;AVENIDA PANAMERICANA;CARRERA 9 No. 15N – 18.;2;8331300;NA;NA;NA;NA;8:00 a.m a 11:30 a.m - 2:00 p.m a  4:30 p.m;NA;NA;NA;2,4453671;-76,6074719;0
PUERTO ASIS;PUERTO ASIS;CALLE 11 No. 19-20;8;4227771;4229263;NA;NA;NA;8:00 a.m a 11:30 a.m - 2:00 p.m a  4:30 p.m;NA;NA;NA;0,4965287;-76,5034414;0
PUERTO BERRIO;PUERTO BERRIO;CALLE 7 No. 4-40;4;8332443;8335057;8334402;8333748;NA;8:00 a.m a 11:30 a.m - 2:00 p.m a  4:30 p.m;NA;NA;NA;6,477755;-74,4088;1
PUERTO BOYACA;PUERTO BOYACA;CARRERA 3 No. 11-85;8;7383060;7384591;7383265;NA;NA;8:00 a.m a 11:30 a.m - 2:00 p.m a  4:30 p.m;NA;NA;NA;5,977237;-74,593395;2
PUERTO CARREÑO;PUERTO CARREÑO;AVENIDA ORINOCO No. 6-19;8;5654808;5654475;5654344;NA;NA;8:00 a.m a 11:30 a.m - 2:00 p.m a  4:30 p.m;NA;NA;NA;6,18421;-67,481344;0
PUERTO GAITÁN;PUERTO GAITÁN;CARRERA 13 No. 9-18;8;6460084;6460358;NA;NA;NA;8:00 a.m a 11:30 a.m - 2:00 p.m a  4:30 p.m;NA;NA;NA;4,3109543;-72,0795269;0
PUERTO LOPEZ;PUERTO LOPEZ;CARRERA 4 No. 5-04;8;6450085;6450409;NA;NA;NA;8:00 a.m a 11:30 a.m - 2:00 p.m a  4:30 p.m;NA;NA;NA;4,0846932;-72,9529428;0
QUIBDÓ;QUIBDO;CARRERA 2 NO 24-08;4;6708382;6711707;NA;NA;NA;8:00 a.m a 11:30 a.m - 2:00 p.m a  4:30 p.m;NA;NA;NA;5,6886225;-76,661927;0
RIOHACHA;RIOHACHA;CARRERA 6A No. 10-61;5;7271176;7285116;7285117;NA;NA;8:00 a.m a 11:30 a.m - 2:00 p.m a  4:30 p.m;NA;NA;NA;11,5384151;-72,9167838;4
RIOHACHA;RIOHACHA CENTRO;CALLE 2A No. 7-54;5;7289569;7270073;NA;NA;NA;8:00 a.m a 11:30 a.m - 2:00 p.m a  4:30 p.m;NA;NA;NA;11,5384151;-72,9167838;4
RIONEGRO;AGENCIA AEROPUERTO JOSÉ MARÍA CORDOBA;AERO- JOSE MARIA C. LOCAL 236;4;4806608;NA;NA;NA;NA;Lunes a Viernes de 8:00 a 12:30 y de 1:30 a 4:00 p.m.;NA;NA;NA;6,1707634;-75,4276201;0
RIONEGRO;RIONEGRO;CALLE 49A No. 50-59 LOCAL 114;4;5403203;NA;NA;NA;NA;8:00 a.m a 11:30 a.m - 2:00 p.m a  4:30 p.m;NA;NA;NA;6,152918;-75,374127;0
RIONEGRO;SAVANNA;CALLE 42 No. 56-39 local 101;4;5403207;NA;NA;NA;NA;8:00 a.m a 11:30 a.m - 2:00 p.m a  4:30 p.m;NA;NA;NA;6,1468992;-75,3795588;0
SABANALARGA;SABANALARGA;CARRERA 19 No. 21-47;5;8780408;8780815;780012;NA;NA;8:00 a.m a 11:30 a.m - 2:00 p.m a  4:30 p.m;NA;NA;85001;10,632545;-74,9205938;0
SABANETA;SABANETA;CALLE 69 SUR No. 43C-18;4;5403204;NA;NA;NA;NA;8:00 a.m a 11:30 a.m - 2:00 p.m a  4:30 p.m;NA;NA;NA;6,1514713;-75,6149971;0
SAHAGÚN;SAHAGUN;CARRERA 11 No. 14-24-;4;7777563;7778442;NA;NA;NA;8:00 a.m a 11:30 a.m - 2:00 p.m a  4:30 p.m;NA;NA;NA;8,946796;-75,4431059;0
SAN ANDRÉS;SAN ANDRES;AVENIDA AMERICAS No. 2-18;8;5126712;5122419;NA;NA;NA;8:00 a.m a 11:30 a.m - 2:00 p.m a  4:30 p.m;NA;NA;NA;12,5832258;-81,6957627;0
SANTA FE DE ANTIOQUIA;EXTENSIÓN DE OFICINA SANTA FE DE ANTIOQUIA;CALLE 9 No. 8-48;4;5400659;NA;NA;NA;NA;8:00 a.m a 11:30 a.m - 2:00 p.m a  4:30 p.m;NA;NA;NA;6,557179;-75,827129;2
SAN GIL;SAN GIL;CARRERA 10 No. 12-23;6;7245644;7248478;NA;NA;NA;8:00 a.m a 11:30 a.m - 2:00 p.m a  4:30 p.m;NA;NA;NA;6,5543537;-73,133655;0
SAN JOSÉ DEL GUAVIARE;SAN JOSÉ DEL GUAVIARE;CARRERA 24 CALLE 8 ESQUINA LOCAL 101h 102 y 103 TORRE SANTA CRUZ - FRENTE PARQUE PRINCIPAL;8;5840008;NA;NA;NA;NA;8:00 a.m a 11:30 a.m - 2:00 p.m a  4:30 p.m;NA;NA;NA;2,5729269;-72,644144;0
SAN MARCOS;SAN MARCOS;CALLE 15 No. 24-10;5;2954336;2954338;NA;NA;NA;8:00 a.m a 11:30 a.m - 2:00 p.m a  4:30 p.m;NA;NA;NA;8,662577;-75,128872;1
SANTA MARTA;BAHÍA;CARRERA4 No. 23-12;5;4237018;NA;NA;NA;NA;8:00 a.m a 11:30 a.m - 2:00 p.m a  4:30 p.m;NA;NA;NA;11,239327;-74,212234;6
SANTA MARTA;EL RODADERO;CARRERA 2 No. 6-38;5;4237014;NA;NA;NA;NA;8:00 a.m a 11:30 a.m - 2:00 p.m a  4:30 p.m;NA;NA;NA;11,2060689;-74,2269419;1
SANTA MARTA;PALMA REAL;CALLE 12 No. 18-122 LOCAL 13/14/15/16;5;4237015;NA;NA;NA;NA;8:00 a.m a 11:30 a.m - 2:00 p.m a  4:30 p.m;NA;NA;470001;11,2413412;-74,19451;0
SANTA MARTA;PLAZA SAN FRANCISCO;CALLE 14 No. 3-84 CENTRO;5;4237016;NA;NA;NA;NA;8:00 a.m a 11:30 a.m - 2:00 p.m a  4:30 p.m;NA;NA;470004;11,2449018;-74,2116344;0
SANTA MARTA;SANTA MARTA;CALLE 15 No. 1C - 84;5;4237017;NA;NA;NA;NA;8:00 a.m a 11:30 a.m - 2:00 p.m a  4:30 p.m;NA;NA;NA;11,244029;-74,2072041;0
SANTA ROSA DE CABAL;SANTA ROSA DE CABAL;CALLE 13 No. 14-74;6;3515165;NA;NA;NA;NA;8:00 a.m a 11:30 a.m - 2:00 p.m a  4:30 p.m;NA;NA;NA;4,865367;-75,6216944;0
SANTANDER DE QUILICHAO;SANTANDER DE QUILICHAO;CARRERA 10 No.4 - 46;2;8290970;8290779;NA;NA;NA;8:00 a.m a 11:30 a.m - 2:00 p.m a  4:30 p.m;NA;NA;NA;3,0082931;-76,482457;1
SARAVENA;SARAVENA;CARRERA 15 No. 28 - 17;7;8821199;8821710;NA;NA;NA;8:00 a.m a 11:30 a.m - 2:00 p.m a  4:30 p.m;NA;NA;815010;6,957446;-71,8767199;0
SINCELEJO;CALLE DEL COMERCIO;CARRERA 18 No. 22-57;5;2812332;NA;NA;NA;NA;8:00 a.m a 11:30 a.m - 2:00 p.m a  4:30 p.m;NA;NA;NA;9,3011193;-75,3953337;0
SINCELEJO;SINCELEJO;CARRERA 25 No. 25-199;5;2822493;2821277;NA;NA;NA;8:00 a.m a 11:30 a.m - 2:00 p.m a  4:30 p.m;NA;NA;NA;9,2979171;-75,3852369;0
SOACHA;CENTRO CIAL GRAN PLAZA SOACHA;CARRERA 7n No. 30b-139 local 220 - CENTRO COMERCIAL GRAN PLAZA SOACHA;1;3808151;NA;NA;NA;NA;9:00 a.m a 4:00 p.m;NA;NA;250054;4,5872883;-74,2057884;0
SOCORRO;SOCORRO;CARRERA 15 No. 14-29;7;7272175;7272750;7272148;NA;NA;8:00 a.m a 11:30 a.m - 2:00 p.m a  4:30 p.m;NA;NA;NA;6,4702388;-73,2619115;0
SOGAMOSO;SOGAMOSO;CALLE 11 No. 11-67;8;7707065;7705208;7706751;NA;NA;8:00 a.m a 11:30 a.m - 2:00 p.m a  4:30 p.m;5:30 p.m a 7:00 p.m;9:00 a.m a 1:00 p.m;NA;5,7149094;-72,9289424;0
SOLEDAD;SOLEDAD;CALLE 26 No. 18-20;5;3770149;NA;NA;NA;NA;8:00 a.m a 11:30 a.m - 2:00 p.m a  4:30 p.m;NA;NA;NA;10,9555253;-74,7808289;0
TAURAMENA;AGENCIA TAURAMENA;CALLE 5 No. 14-15;8;6247603;6247955;NA;NA;NA;8:00 a.m a 11:30 a.m - 2:00 p.m a  4:30 p.m;NA;NA;NA;5,0106849;-72,750495;0
TENJO;BBVA SIEMENS;AUTOPISTA MEDELLÍN Km 8.5 COSTADO SUR;1;4379516;NA;NA;NA;NA;9:00 a.m a 4:00 p.m;NA;NA;NA;4,7777953;-74,1849881;0
TOCANCIPÁ;TOCANCIPÁ;CARRERA 7 No. 7 - 10 / 14;1;8575700;8574072;NA;NA;NA;09:00 a.m. a 04:00 p.m.;NA;NA;NA;4,9637174;-73,9159927;0
TULÚA;TULUA;CARRERA 27 No. 26-28;2;2244098;2247055;2257822;NA;NA;8:00 a.m a 11:30 a.m - 2:00 p.m a  4:30 p.m;NA;NA;NA;4,0846951;-76,1961828;0
TULÚA;TULUA CENTRO;CARRERA 26 No. 27-49;2;2244373;2242517;2252420;NA;NA;8:00 a.m a 11:30 a.m - 2:00 p.m a  4:30 p.m;NA;NA;NA;4,0838459;-76,1971843;0
TUNJA;EL BOSQUE;CARRERA 11 No. 11 - 50/54;8;7435543;7400879;NA;NA;NA;8:00 a.m a 11:30 a.m - 2:00 p.m a  4:30 p.m;NA;NA;NA;5,5248419;-73,3659396;0
TUNJA;TUNJA;CARRERA 11 No. 18-41;8;7423156;7445844;7428630;NA;NA;8:00 a.m a 11:30 a.m - 2:00 p.m a  4:30 p.m;5:30 p.m a 7:00 p.m;10:00 a.m a 4:00 p.m;150001;5,5317645;-73,3634153;0
TUNJA;TUNJA AVENIDA NORTE;AVENIDA NORTE No. 47a-111;8;7436925;7426240;NA;NA;NA;8:00 a.m a 11:30 a.m - 2:00 p.m a  4:30 p.m;NA;NA;NA;5,574255;-73,3404795;0
TUQUERRES;TUQUERRES;CARRERA 14 No. 15-14 Local 2;2;7281288;7281814;7282160;NA;NA;8:00 a.m a 11:30 a.m - 2:00 p.m a  4:30 p.m;NA;NA;NA;1,085739;-77,618641;0
UBATÉ;UBATE;CALLE 8 No. 8-16;1;8890097;8890533;8553510;8553199;NA;9:00 a.m a 4:00 p.m;NA;NA;NA;5,3087146;-73,8149559;0
URRAO;URRAO;CARRERA 31 No. 29-21;4;8502666;8502162;8502667;NA;NA;8:00 a.m a 11:30 a.m - 2:00 p.m a  4:30 p.m;NA;NA;NA;6,3165532;-76,134867;0
VALLEDUPAR;AGENCIA GOBERNACIÓN DEL CESAR;CALLE 16 No. 12 - 120 GOBERNACIÓN DEL CESAR;5;5732736;NA;NA;NA;NA;8:00 a.m a 11:30 a.m - 2:00 p.m a  4:30 p.m;NA;NA;NA;10,4732071;-73,2509807;0
VALLEDUPAR;CALLE GRANDE;CALLE 16 No. 11-04;5;5732732;NA;NA;NA;NA;8:00 a.m a 11:30 a.m - 2:00 p.m a  4:30 p.m;NA;NA;NA;10,4742872;-73,2484819;0
VALLEDUPAR;CENTRO COMERCIAL MAYALES PLAZA;CALLE 31 No. 6A - 133 LOCAL 201 - 202;5;5732735;NA;NA;NA;NA;8:00 a.m a 11:30 a.m - 2:00 p.m a  4:30 p.m;NA;NA;NA;10,4564296;-73,2425447;3
VALLEDUPAR;CENTRO COMERCIAL VALLEDUPAR;CARRERA 7 A No. 19 A 117;5;5732734;NA;NA;NA;NA;8:00 a.m a 11:30 a.m - 2:00 p.m a  4:30 p.m;NA;NA;NA;10,4706744;-73,2425203;1
VALLEDUPAR;PLAZA LOPERENA;CALLE 15 No. 14-33 LOCAL 101;5;5732731;NA;NA;NA;NA;8:00 a.m a 11:30 a.m - 2:00 p.m a  4:30 p.m;NA;NA;NA;10,4959187;-73,2691895;1
VALLEDUPAR;VALLEDUPAR;CARRERA 9 No. 15A-25;5;5732733;NA;NA;NA;NA;8:00 a.m a 11:30 a.m - 2:00 p.m a  4:30 p.m;NA;NA;NA;10,4756733;-73,2473244;1
VALLEDUPAR;UNICENTRO VALLEDUPAR;DIAGONAL 6A No. 9-41 locales 323-324 Centro Comercial Unicentro;5;5732730;NA;NA;NA;NA;9:00 a.m a 12:30 p.m - 2:00 p.m a  4:30 p.m;NA;NA;NA;10,4879319;-73,2617229;0
VILLAGARZÓN;AGENCIA VILLAGARZÓN;CARRERA 5 No. 1-53;8;4284574;4285273;NA;NA;NA;8:00 a.m a 11:30 a.m - 2:00 p.m a  4:30 p.m;NA;NA;NA;1,0301592;-76,6156247;1
VILLANUEVA;VILLANUEVA;CARRERA 8 No. 10-40;8;6236438;6241490;6241491;6236436;NA;8:00 a.m a 11:30 a.m - 2:00 p.m a  4:30 p.m;NA;NA;NA;3,4488533;-76,5326638;0
VILLAVICENCIO;CENTRO COMERCIAL UNICO VILLAVICENCIO;CARRERA 22 No. 8C - 67 Local BC4;8;6611673;NA;NA;NA;NA;8:00 a.m a 11:30 a.m - 2:00 p.m a  4:30 p.m;NA;NA;NA;4,1287734;-73,6240176;0
VILLAVICENCIO;LA ESPERANZA;AVENIDA 40 No. 35A-40;8;6611670;NA;NA;NA;NA;8:00 a.m a 11:30 a.m - 2:00 p.m a  4:30 p.m;NA;NA;NA;4,1404228;-73,6348683;0
VILLAVICENCIO;VILLAVICENCIO;CALLE 38 No.31-74;8;6611671;NA;NA;NA;NA;8:00 a.m a 11:30 a.m - 2:00 p.m a  4:30 p.m;NA;NA;NA;4,1514814;-73,6373983;3
VILLAVICENCIO;VILLAVICENCIO CENTRO;CARRERA 31 No. 38-18;8;6611677;NA;NA;NA;NA;8:00 a.m a 11:30 a.m - 2:00 p.m a  4:30 p.m;NA;NA;NA;4,1518971;-73,6369397;3
VILLAVICENCIO;CENTRO COMERCIAL PRIMAVERA;CALLE 15 No. 40-01 L 248-249;8;6611672;NA;NA;NA;NA;8:00 a.m a 11:30 a.m - 2:00 p.m a  4:30 p.m;NA;NA;500004;4,1320381;-73,6313507;0
VILLETA;VILLETA;CALLE 5 No. 7-86;1;8445225;8444605;NA;NA;NA;9:00 a.m a 04:00 p.m.;NA;NA;NA;5,011706;-74,470362;1
YOPAL;EXT. DE CAJA GOBERNACIÓN DE CASANARE;CARRERA 19 No. 6-100 EDIFICIO DE LA GOBERNACIÓN DE CASANARE;8;6358220;NA;NA;NA;NA;8:00 a.m a 11:30 a.m - 2:00 p.m a  4:30 p.m;NA;NA;NA;5,3487158;-72,4009209;0
YOPAL;YOPAL;CALLE 8 Nº 21-32;8;6358220;6358043;6356002;6340004;NA;8:00 a.m a 11:30 a.m - 2:00 p.m a  4:30 p.m;NA;NA;NA;5,348903;-72,400523;0
YOPAL;YOPAL UNICENTRO;CARRERA 29 No. 13-20;8;6348274;6349813;NA;NA;NA;8:00 a.m a 11:30 a.m - 2:00 p.m a  4:30 p.m;NA;NA;NA;5,3482945;-72,3915885;0
YUMBO;YUMBO;CARRERA 4 No. 6 - 17;2;6909137;6909696;6691299;NA;NA;8:00 a.m a 11:30 a.m - 2:00 p.m a  4:30 p.m;NA;NA;NA;3,5837261;-76,494637;1
ZIPAQUIRÁ;ZIPAQUIRA CENTRO;CARRERA 8 No. 2-80;1;8513396;8523071;8522766;NA;NA;9:00 a.m a 4:00 p.m;NA;NA;NA;5,022124;-74,0043332;0
